day,date,population,total_wealth,average_happiness
1134,2028-02-10,200,0,0.0
1141,2028-02-17,200,0,0.0
1148,2028-02-24,200,0,0.0
1155,2028-03-02,200,0,0.0
1162,2028-03-09,200,0,0.0
1169,2028-03-16,200,0,0.0
1176,2028-03-23,200,0,0.0
1183,2028-03-30,200,0,0.0
1190,2028-04-06,200,0,0.0
1197,2028-04-13,200,0,0.0
1204,2028-04-20,200,0,0.0
1211,2028-04-27,200,0,0.0
1218,2028-05-04,200,0,0.0
1225,2028-05-11,200,0,0.0
1232,2028-05-18,200,0,0.0
1239,2028-05-25,200,0,0.0
1246,2028-06-01,200,0,0.0
1253,2028-06-08,200,0,0.0
1260,2028-06-15,200,0,0.0
1267,2028-06-22,200,0,0.0
1274,2028-06-29,200,0,0.0
1281,2028-07-06,200,0,0.0
1288,2028-07-13,200,0,0.0
1295,2028-07-20,200,0,0.0
1302,2028-07-27,200,0,0.0
1309,2028-08-03,200,0,0.0
1316,2028-08-10,200,0,0.0
1323,2028-08-17,200,0,0.0
1330,2028-08-24,200,0,0.0
1337,2028-08-31,200,0,0.0
1344,2028-09-07,200,0,0.0
1351,2028-09-14,200,0,0.0
1358,2028-09-21,200,0,0.0
1365,2028-09-28,200,0,0.0
1372,2028-10-05,200,0,0.0
1379,2028-10-12,200,0,0.0
1386,2028-10-19,200,0,0.0
1393,2028-10-26,200,0,0.0
1400,2028-11-02,200,0,0.0
1407,2028-11-09,200,0,0.0
1414,2028-11-16,200,0,0.0
1421,2028-11-23,200,0,0.0
1428,2028-11-30,200,0,0.0
1435,2028-12-07,200,0,0.0
1442,2028-12-14,200,0,0.0
1449,2028-12-21,200,0,0.0
1456,2028-12-28,200,0,0.0
1463,2029-01-04,200,0,0.0
1470,2029-01-11,200,0,0.0
1477,2029-01-18,200,0,0.0
1484,2029-01-25,200,0,0.0
1491,2029-02-01,200,0,0.0
1498,2029-02-08,200,0,0.0
1505,2029-02-15,200,0,0.0
1512,2029-02-22,200,0,0.0
1519,2029-03-01,200,0,0.0
1526,2029-03-08,200,0,0.0
1533,2029-03-15,200,0,0.0
1540,2029-03-22,200,0,0.0
1547,2029-03-29,200,0,0.0
1554,2029-04-05,200,0,0.0
1561,2029-04-12,200,0,0.0
1568,2029-04-19,200,0,0.0
1575,2029-04-26,200,0,0.0
1582,2029-05-03,200,0,0.0
1589,2029-05-10,200,0,0.0
1596,2029-05-17,200,0,0.0
1603,2029-05-24,200,0,0.0
1610,2029-05-31,200,0,0.0
1617,2029-06-07,200,0,0.0
1624,2029-06-14,200,0,0.0
1631,2029-06-21,200,0,0.0
1638,2029-06-28,200,0,0.0
1645,2029-07-05,200,0,0.0
1652,2029-07-12,200,0,0.0
1659,2029-07-19,200,0,0.0
1666,2029-07-26,200,0,0.0
1673,2029-08-02,200,0,0.0
1680,2029-08-09,200,0,0.0
1687,2029-08-16,200,0,0.0
1694,2029-08-23,200,0,0.0
1701,2029-08-30,200,0,0.0
1708,2029-09-06,200,0,0.0
1715,2029-09-13,200,0,0.0
1722,2029-09-20,200,0,0.0
1729,2029-09-27,200,0,0.0
1736,2029-10-04,200,0,0.0
1743,2029-10-11,200,0,0.0
1750,2029-10-18,200,0,0.0
1757,2029-10-25,200,0,0.0
1764,2029-11-01,200,0,0.0
1771,2029-11-08,200,0,0.0
1778,2029-11-15,200,0,0.0
1785,2029-11-22,200,0,0.0
1792,2029-11-29,200,0,0.0
1799,2029-12-06,200,0,0.0
1806,2029-12-13,200,0,0.0
1813,2029-12-20,200,0,0.0
1820,2029-12-27,200,0,0.0
1827,2030-01-03,200,0,0.0
1834,2030-01-10,200,0,0.0
1841,2030-01-17,200,0,0.0
1848,2030-01-24,200,0,0.0
1855,2030-01-31,200,0,0.0
1862,2030-02-07,200,0,0.0
1869,2030-02-14,200,0,0.0
1876,2030-02-21,200,0,0.0
1883,2030-02-28,200,0,0.0
1890,2030-03-07,200,0,0.0
1897,2030-03-14,200,0,0.0
1904,2030-03-21,200,0,0.0
1911,2030-03-28,200,0,0.0
1918,2030-04-04,200,0,0.0
1925,2030-04-11,200,0,0.0
1932,2030-04-18,200,0,0.0
1939,2030-04-25,200,0,0.0
1946,2030-05-02,200,0,0.0
1953,2030-05-09,200,0,0.0
1960,2030-05-16,200,0,0.0
1967,2030-05-23,200,0,0.0
1974,2030-05-30,200,0,0.0
1981,2030-06-06,200,0,0.0
1988,2030-06-13,200,0,0.0
1995,2030-06-20,200,0,0.0
2002,2030-06-27,200,0,0.0
2009,2030-07-04,200,0,0.0
2016,2030-07-11,200,0,0.0
2023,2030-07-18,200,0,0.0
2030,2030-07-25,200,0,0.0
2037,2030-08-01,200,0,0.0
2044,2030-08-08,200,0,0.0
2051,2030-08-15,200,0,0.0
2058,2030-08-22,200,0,0.0
2065,2030-08-29,200,0,0.0
2072,2030-09-05,200,0,0.0
2079,2030-09-12,200,0,0.0
2086,2030-09-19,200,0,0.0
2093,2030-09-26,200,0,0.0
2100,2030-10-03,200,0,0.0
2107,2030-10-10,200,0,0.0
2114,2030-10-17,200,0,0.0
2121,2030-10-24,200,0,0.0
2128,2030-10-31,200,0,0.0
2135,2030-11-07,200,0,0.0
2142,2030-11-14,200,0,0.0
2149,2030-11-21,200,0,0.0
2156,2030-11-28,200,0,0.0
2163,2030-12-05,200,0,0.0
2170,2030-12-12,200,0,0.0
2177,2030-12-19,200,0,0.0
2184,2030-12-26,200,0,0.0
2191,2031-01-02,200,0,0.0
2198,2031-01-09,200,0,0.0
2205,2031-01-16,200,0,0.0
2212,2031-01-23,200,0,0.0
2219,2031-01-30,200,0,0.0
2226,2031-02-06,200,0,0.0
2233,2031-02-13,200,0,0.0
2240,2031-02-20,200,0,0.0
2247,2031-02-27,200,0,0.0
2254,2031-03-06,200,0,0.0
2261,2031-03-13,200,0,0.0
2268,2031-03-20,200,0,0.0
2275,2031-03-27,200,0,0.0
2282,2031-04-03,200,0,0.0
2289,2031-04-10,200,0,0.0
2296,2031-04-17,200,0,0.0
2303,2031-04-24,200,0,0.0
2310,2031-05-01,200,0,0.0
2317,2031-05-08,200,0,0.0
2324,2031-05-15,200,0,0.0
2331,2031-05-22,200,0,0.0
2338,2031-05-29,200,0,0.0
2345,2031-06-05,200,0,0.0
2352,2031-06-12,200,0,0.0
2359,2031-06-19,200,0,0.0
2366,2031-06-26,200,0,0.0
2373,2031-07-03,200,0,0.0
2380,2031-07-10,200,0,0.0
2387,2031-07-17,200,0,0.0
2394,2031-07-24,200,0,0.0
2401,2031-07-31,200,0,0.0
2408,2031-08-07,200,0,0.0
2415,2031-08-14,200,0,0.0
2422,2031-08-21,200,0,0.0
2429,2031-08-28,200,0,0.0
2436,2031-09-04,200,0,0.0
2443,2031-09-11,200,0,0.0
2450,2031-09-18,200,0,0.0
2457,2031-09-25,200,0,0.0
2464,2031-10-02,200,0,0.0
2471,2031-10-09,200,0,0.0
2478,2031-10-16,200,0,0.0
2485,2031-10-23,200,0,0.0
2492,2031-10-30,200,0,0.0
2499,2031-11-06,200,0,0.0
2506,2031-11-13,200,0,0.0
2513,2031-11-20,200,0,0.0
2520,2031-11-27,200,0,0.0
2527,2031-12-04,200,0,0.0
2534,2031-12-11,200,0,0.0
2541,2031-12-18,200,0,0.0
2548,2031-12-25,200,0,0.0
2555,2032-01-01,200,0,0.0
2562,2032-01-08,200,0,0.0
2569,2032-01-15,200,0,0.0
2576,2032-01-22,200,0,0.0
2583,2032-01-29,200,0,0.0
2590,2032-02-05,200,0,0.0
2597,2032-02-12,200,0,0.0
2604,2032-02-19,200,0,0.0
